id,module,priority,platform,window,state,title,steps,expected,required_evidence,status,blocker_or_notes,source_commit,artifact_sha256,device_os_webview,actual_evidence,tested_at
NAV-01,M2,P1,全部,0/90/180/270 度,浏览/输入/播放,全局四方向,首页→书架→音色→设置→导入，逐页旋转,按系统支持旋转；主控件可见可点；草稿/筛选保持,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-02,M2,P1,全部,599/600、839/840、1199/1200、1599/1600 dp,浏览/输入/播放,断点两侧,调真实窗口宽度并核对实际布局测量,导航形态变但 route/session 不重建；正文行长合理,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-03,M2,P1,全部,320/360/375 dp,浏览/输入/播放,最窄窗口,收窄窗口打开阅读/目录/Aa/声音,正文、返回、播放和关闭可达；不能只靠横向裁切,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-04,M2,P1,全部,高度<480dp；分屏+IME,浏览/输入/播放,短高与 IME,输入搜索/文字/URL；旋转；选择结果或提交,IME/系统栏只消费一次；结果行与确认/取消不被挡,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-05,M2,P1,全部,宽/窄/短窗口,浏览/输入/播放,最大字号与深色,最大字体和显示缩放下完成搜索排序与播放控制,无文字互压；主要触控目标>=48dp；列表末项可达,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-06,M2,P1,全部,自由窗口/任务栏/cutout/铰链,浏览/输入/播放,系统装饰区域,移动缩放窗口；展开系统栏或折叠设备,标题栏/任务栏/铰链不遮返回与导入,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-07,M2,P1,全部,全部,浏览/输入/播放,迷你播放器和末行,收起/展开；滚到设置和书架末项后点击,不出现两个播放器；末行操作不误触播放器,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAV-08,M2,P1,全部,手机竖/横,浏览/输入/播放,手机导航回归,重复已发布手机的首页、导入、阅读、返回路径,入口和既有功能保留；没有平板栏挤占手机内容,全窗口截图+点击结果+session 身份,NOT_RUN,,,,,,
NAT-01-R,M3,P0,文本/Markdown,竖→横→窄→宽,playing/paused/loading,文本/Markdown朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-01-E,M3,P0,文本/Markdown,竖→横→窄→宽,playing/paused/loading,文本/Markdown解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-02-R,M3,P0,EPUB,竖→横→窄→宽,playing/paused/loading,EPUB朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-02-E,M3,P0,EPUB,竖→横→窄→宽,playing/paused/loading,EPUB解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-03-R,M3,P0,文本 PDF,竖→横→窄→宽,playing/paused/loading,文本 PDF朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-03-E,M3,P0,文本 PDF,竖→横→窄→宽,playing/paused/loading,文本 PDF解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-04-R,M3,P0,扫描 PDF,竖→横→窄→宽,playing/paused/loading,扫描 PDF朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-04-E,M3,P0,扫描 PDF,竖→横→窄→宽,playing/paused/loading,扫描 PDF解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-05-R,M3,P0,照片/多页扫描,竖→横→窄→宽,playing/paused/loading,照片/多页扫描朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-05-E,M3,P0,照片/多页扫描,竖→横→窄→宽,playing/paused/loading,照片/多页扫描解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-06-R,M3,P0,DOCX,竖→横→窄→宽,playing/paused/loading,DOCX朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-06-E,M3,P0,DOCX,竖→横→窄→宽,playing/paused/loading,DOCX解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-07-R,M3,P0,普通网页,竖→横→窄→宽,playing/paused/loading,普通网页朗读重排,打开真实或公开样本；朗读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-07-E,M3,P0,普通网页,竖→横→窄→宽,playing/paused/loading,普通网页解读重排,打开真实或公开样本；解读中旋转；暂停缩放；恢复并进入下一段/块,同一语义位置；真实高亮或原文 marks 可见；暂停意图保留；无重复生成/扣额,样本 hash；播放位置/请求；旋转前后截图；mark/geometry 身份,NOT_RUN,,,,,,
NAT-08,M3,P0,PDF/照片,全屏/分屏/短高,播放/暂停/重开,手动缩放与位置,缩放到>1x并手动浏览页中；横竖切换；再缩小,保相对 zoom 与页内中心；无跳页/丢高亮,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
NAT-09,M3,P0,短 PDF,全屏/分屏/短高,播放/暂停/重开,顶部 fit-width,在文档顶部 fit-width 后切短横屏,短页文字仍可见；不被错误中心恢复移出视口,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
NAT-10,M3,P0,EPUB,全屏/分屏/短高,播放/暂停/重开,目录/插图/SVG,打开带非 spine 图片与 SVG 的书；跳目录；旋转/重开,正确章节/插图；稳定段 ID；图片不过度解码,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
NAT-11,M3,P0,PDF/EPUB,全屏/分屏/短高,播放/暂停/重开,大文档资源释放,大文档读/解读、跨页与反复缩放,内存不持续无界增长；不在每次 resize 重解析/OCR 全书,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
NAT-12,M3,P0,文本/DOM,全屏/分屏/短高,播放/暂停/重开,字符范围与重复标题,测试 emoji/代理对/组合字符/重复短标题和长段 mark,范围编码一致；歧义拒绝；不标错另一处相同文本,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
NAT-13,M3,P0,YouTube,全屏/分屏/短高,播放/暂停/重开,字幕布局与会话,真实字幕开启播放→收起→旋转→分屏→展开,不锁平板竖屏；字幕语言/进度保留；没有新增不支持模式,实际截图/日志；对应几何或资源记录,NOT_RUN,,,,,,
KD-01,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,真实书架与布局,登录已有账号；搜索/排序/刷新/加载更多；最大字号深色及窄窗口,真实书目与计数正确，长标题/空态/最后一行完整,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-02,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,真实朗读旋转,长正文朗读→旋转→暂停→窄窗→恢复→收起展开,实际新合成、位置推进和高亮；原 source 保持；不从新页开头重读,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-03,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,真实解读旋转,长正文解读→标注出现→旋转→暂停→展开迷你播放器,真实讲解字幕；原文 ink 在正确字句；mark ID/时序/暂停游标保留,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-04,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,自然物理续页,旋转后让 Read 和 Explain 各自然完成；观察尾部和下一页,先消费新露出尾部，再有真实自动翻页动作、新页/source、实际新音频与高亮/ink,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-05,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,目录 Aa 与手动翻页,真实改变字号再还原；面板打开旋转；目录选章；暂停手动前后页,面板有界且可关；目标章节正确；底层不可穿透；手动翻页保持暂停,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-06,M4,P0,Kindle 在线,竖/横/实际窄窗,真实账号,冷恢复双向,全屏听读后进程结束→窄窗重开播放；再反向；站点书签前后偏移也测,唯一严格锚点恢复；不猜近似段；真实已保存词/句继续；无位置不匹配误报,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-01,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,真实书架与布局,登录已有账号；搜索/排序/刷新/加载更多；最大字号深色及窄窗口,真实书目与计数正确，长标题/空态/最后一行完整,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-02,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,真实朗读旋转,长正文朗读→旋转→暂停→窄窗→恢复→收起展开,实际新合成、位置推进和高亮；原 source 保持；不从新页开头重读,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-03,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,真实解读旋转,长正文解读→标注出现→旋转→暂停→展开迷你播放器,真实讲解字幕；原文 ink 在正确字句；mark ID/时序/暂停游标保留,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-04,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,自然物理续页,旋转后让 Read 和 Explain 各自然完成；观察尾部和下一页,先消费新露出尾部，再有真实自动翻页动作、新页/source、实际新音频与高亮/ink,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-05,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,目录 Aa 与手动翻页,真实改变字号再还原；面板打开旋转；目录选章；暂停手动前后页,面板有界且可关；目标章节正确；底层不可穿透；手动翻页保持暂停,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
GB-06,M5a,P0,Google Play 图书,竖/横/实际窄窗,真实账号,冷恢复双向,全屏听读后进程结束→窄窗重开播放；再反向；站点书签前后偏移也测,唯一严格锚点恢复；不猜近似段；真实已保存词/句继续；无位置不匹配误报,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-01,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,真实书架与布局,登录已有账号；搜索/排序/刷新/加载更多；最大字号深色及窄窗口,真实书目与计数正确，长标题/空态/最后一行完整,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-02,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,真实朗读旋转,长正文朗读→旋转→暂停→窄窗→恢复→收起展开,实际新合成、位置推进和高亮；原 source 保持；不从新页开头重读,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-03,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,真实解读旋转,长正文解读→标注出现→旋转→暂停→展开迷你播放器,真实讲解字幕；原文 ink 在正确字句；mark ID/时序/暂停游标保留,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-04,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,自然物理续页,旋转后让 Read 和 Explain 各自然完成；观察尾部和下一页,先消费新露出尾部，再有真实自动翻页动作、新页/source、实际新音频与高亮/ink,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-05,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,目录 Aa 与手动翻页,真实改变字号再还原；面板打开旋转；目录选章；暂停手动前后页,面板有界且可关；目标章节正确；底层不可穿透；手动翻页保持暂停,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KO-06,M5b,P0,Kobo,竖/横/实际窄窗,真实账号,冷恢复双向,全屏听读后进程结束→窄窗重开播放；再反向；站点书签前后偏移也测,唯一严格锚点恢复；不猜近似段；真实已保存词/句继续；无位置不匹配误报,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-01,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,真实书架与布局,登录已有账号；搜索/排序/刷新/加载更多；最大字号深色及窄窗口,真实书目与计数正确，长标题/空态/最后一行完整,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-02,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,真实朗读旋转,长正文朗读→旋转→暂停→窄窗→恢复→收起展开,实际新合成、位置推进和高亮；原 source 保持；不从新页开头重读,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-03,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,真实解读旋转,长正文解读→标注出现→旋转→暂停→展开迷你播放器,真实讲解字幕；原文 ink 在正确字句；mark ID/时序/暂停游标保留,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-04,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,自然物理续页,旋转后让 Read 和 Explain 各自然完成；观察尾部和下一页,先消费新露出尾部，再有真实自动翻页动作、新页/source、实际新音频与高亮/ink,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-05,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,目录 Aa 与手动翻页,真实改变字号再还原；面板打开旋转；目录选章；暂停手动前后页,面板有界且可关；目标章节正确；底层不可穿透；手动翻页保持暂停,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
WR-06,M5c,P0,微信读书,竖/横/实际窄窗,真实账号,冷恢复双向,全屏听读后进程结束→窄窗重开播放；再反向；站点书签前后偏移也测,唯一严格锚点恢复；不猜近似段；真实已保存词/句继续；无位置不匹配误报,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-01,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,真实书架与布局,登录已有账号；搜索/排序/刷新/加载更多；最大字号深色及窄窗口,真实书目与计数正确，长标题/空态/最后一行完整,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-02,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,真实朗读旋转,长正文朗读→旋转→暂停→窄窗→恢复→收起展开,实际新合成、位置推进和高亮；原 source 保持；不从新页开头重读,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-03,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,真实解读旋转,长正文解读→标注出现→旋转→暂停→展开迷你播放器,真实讲解字幕；原文 ink 在正确字句；mark ID/时序/暂停游标保留,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-04,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,自然物理续页,旋转后让 Read 和 Explain 各自然完成；观察尾部和下一页,先消费新露出尾部，再有真实自动翻页动作、新页/source、实际新音频与高亮/ink,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-05,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,目录 Aa 与手动翻页,真实改变字号再还原；面板打开旋转；目录选章；暂停手动前后页,面板有界且可关；目标章节正确；底层不可穿透；手动翻页保持暂停,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
OR-06,M5d,P0,O’Reilly,竖/横/实际窄窗,真实账号,冷恢复双向,全屏听读后进程结束→窄窗重开播放；再反向；站点书签前后偏移也测,唯一严格锚点恢复；不猜近似段；真实已保存词/句继续；无位置不匹配误报,书架/正文截图；实际请求/播放；source/physicalTurn 证据；账号资料不外传,NOT_RUN,,,,,,
KD-07,M4,P0,Kindle 在线,宽/窄/旋转,边界/恢复,OCR 拆词连字符和稀疏 ID,使用跨行/缺词 OCR 内容重排后画整句 mark,一个词可多框；完整覆盖正确句；ID 不作数组下标,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
KD-08,M4,P0,Kindle 在线,宽/窄/旋转,边界/恢复,音频切段与 OCR 恢复并发,在音频将结束时旋转；恢复中主动暂停；再手动继续,过渡不丢可恢复项；无串页；暂停优先；旧 OCR 不覆盖新页,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
GB-07,M5a,P0,Google Play 图书,宽/窄/旋转,边界/恢复,身份变化与短标题,测试旋转后 ID 重建、短唯一标题、重复标题,唯一精确 overlap/整段才映射；frame origin 校验不放宽,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
GB-08,M5a,P0,Google Play 图书,宽/窄/旋转,边界/恢复,暂停同词重画,暂停当前词；DOM reset 后重排并返回同一词,没有 tick 仍显示高亮；去重不吞掉恢复命令,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
KO-07,M5b,P0,Kobo,宽/窄/旋转,边界/恢复,iframe clipping 和手势层,用隐藏 CSS columns 页面；点击实际可见正文,交集所有裁切祖先；不抽隐藏碎字；实际正文收到动作,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
KO-08,M5b,P0,Kobo,宽/窄/旋转,边界/恢复,同源新几何与遮罩,Aa 开着旋转并回原布局；模拟新导航仍未提交,同 source 也刷新 geometry；视觉期限不越过初次导航门禁,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
WR-07,M5c,P0,微信读书,宽/窄/旋转,边界/恢复,Canvas paint 早于 resize,改变真实窗口宽度并延迟 resize 回调,部分 Canvas 不当新页；不清讲解 source/marks/音频,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
WR-08,M5c,P0,微信读书,宽/窄/旋转,边界/恢复,短中文句级恢复,短窄页无词 timestamps；宽窄双向杀进程重开,句自身摘要参与上下文；相同音频保时间，重切分回验证句首,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
WR-09,M5c,P0,微信读书,宽/窄/旋转,边界/恢复,目录精确点击与已可见右列,竖屏从引言选首章；横屏选已在右列章节,实际 action 一次点击到正确章；权威已可见项不额外翻页,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
OFF-01,M4,P0,Kindle 离线,宽/窄/旋转,边界/恢复,原页长页/缩放/入口,打开已下载长页；整行选择；目录语速；横竖缩放,整行可点，原页可达，相对 zoom 和位置保持,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
OFF-02,M4,P0,Kindle 离线,宽/窄/旋转,边界/恢复,无网能力与升级缓存,断网验证已承诺的缓存功能；同签名升级后重开,能力声明真实；账号/下载/进度兼容；不把需云端合成说成离线,最小复现、修前/修后合同与实际界面/音频,NOT_RUN,,,,,,
FORM-01,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,声音搜索与 IME,阅读中开声音搜索；输入；旋转；选结果,结果行可见可点；原阅读所有权/暂停意图正确,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
FORM-02,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,目录/更多/语速/定时,打开每种弹层；旋转、缩窗、滚动、退出,锚点/面板有界，底层不可穿透；选项真正生效,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
FORM-03,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,录音创建与中断,真机录音/上传；旋转、后台、来电或权限中断；恢复,不重复创建/上传；有真实进度与恢复；主操作可达,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
FORM-04,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,登录/购买/云盘返回,从 A 窗口发起系统流程；切到 B；关 A 或切账号再返回,结果属于发起账号/窗口或安全失效；不误购/误授权到 B,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
FORM-05,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,账号/权益状态,合法测试免费/过期/有效 Pro/未知和不足额度/恢复购买,符合当前地区服务合同；UI 完整且不以伪造权益绕过,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
FORM-06,M6,P0,表单/账号/声音,窄窗/短高/IME,交互,礼物/私人管理,按地区 capability 访问已有声音管理和分享流程,只展示本区能力；owner/gifted 权限不被平板 UI 混淆,实际成功/取消/错误结果；截图；无敏感正文,NOT_RUN,,,,,,
IMP-01,M6,P0,导入,全屏/分屏,pending/cancelled/completed,Files/图片/相机/云盘,逐一从现有系统入口导入支持格式，旋转并取消/重试,解析与来源/持久身份保留；真实相机另用真机,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
IMP-02,M6,P0,导入,全屏/分屏,pending/cancelled/completed,最多八项顺序队列,实际多项拖入/分享，混合成功失败；重试,限制明确；逐项结果；成功项不重复存；默认暂停打开,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
IMP-03,M6,P0,导入,全屏/分屏,pending/cancelled/completed,URI 生命周期,临时 content URI、云 provider 延迟、grant 到期场景,有效期复制/授权正确；不假设本地路径；失败可恢复,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
IMP-04,M6,P0,导入,全屏/分屏,pending/cancelled/completed,取消/关窗/换账号迟到结果,导入未完成时取消/关窗口/换账号，再释放旧回调,不保存到新账号或错误窗口；只清自有副本,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
IMP-05,M6,P0,导入,全屏/分屏,pending/cancelled/completed,多窗口文件所有权,A 读取自有临时文件时 B 导入替换；关闭其中一窗,A 文件仍可读；正确引用释放；原始用户文件不删除,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
IMP-06,M6,P0,导入,全屏/分屏,pending/cancelled/completed,YouTube 待提取与深链去重,拖链接后不打开；重复分享同内容；冷/热深链,未提取不报已保存；不自动播放；重复投递幂等,URI/文件归属去敏日志；逐项结果截图；重开文库,NOT_RUN,,,,,,
WIN-01,M7,P0,系统窗口,两个实际任务窗口,ownership/lifecycle,真实双系统窗口独立,A/B 开不同文档，分别目录/输入/滚动/弹层,两窗口内容、草稿、路由和模态独立,窗口身份、租约/代次、真实播放和冷恢复记录,NOT_RUN,,,,,,
WIN-02,M7,P0,系统窗口,两个实际任务窗口,ownership/lifecycle,浏览不抢音频,A 播放，B 只浏览/开声音列表/旋转,A 继续；B 不改 A 位置和队列,窗口身份、租约/代次、真实播放和冷恢复记录,NOT_RUN,,,,,,
WIN-03,M7,P0,系统窗口,两个实际任务窗口,ownership/lifecycle,显式播放交接,A 播放时 B 按播放，然后 A 再明确恢复,最多一个主音频；双方准确 checkpoint；没有叠音,窗口身份、租约/代次、真实播放和冷恢复记录,NOT_RUN,,,,,,
